,size,numberQueries,dataDistribution,y
416,4170000,4170,2,True
417,4180000,4180,0,False
418,4190000,4190,1,True
419,4200000,4200,2,False
420,4210000,4210,0,False
421,4220000,4220,1,True
422,4230000,4230,2,False
423,4240000,4240,0,False
424,4250000,4250,1,False
425,4260000,4260,2,False
426,4270000,4270,0,False
427,4280000,4280,1,False
428,4290000,4290,2,True
429,4300000,4300,0,False
430,4310000,4310,1,True
431,4320000,4320,2,False
432,4330000,4330,0,False
433,4340000,4340,1,True
434,4350000,4350,2,True
435,4360000,4360,0,True
436,4370000,4370,1,True
437,4380000,4380,2,False
438,4390000,4390,0,False
439,4400000,4400,1,True
440,4410000,4410,2,False
441,4420000,4420,0,False
442,4430000,4430,1,False
443,4440000,4440,2,True
444,4450000,4450,0,False
445,4460000,4460,1,True
446,4470000,4470,2,False
447,4480000,4480,0,False
448,4490000,4490,1,True
449,4500000,4500,2,True
450,4510000,4510,0,False
451,4520000,4520,1,False
452,4530000,4530,2,True
453,4540000,4540,0,False
454,4550000,4550,1,True
455,4560000,4560,2,False
456,4570000,4570,0,True
457,4580000,4580,1,False
458,4590000,4590,2,True
459,4600000,4600,0,True
460,4610000,4610,1,True
461,4620000,4620,2,False
462,4630000,4630,0,False
463,4640000,4640,1,False
464,4650000,4650,2,True
465,4660000,4660,0,True
466,4670000,4670,1,True
467,4680000,4680,2,False
468,4690000,4690,0,False
469,4700000,4700,1,True
470,4710000,4710,2,False
471,4720000,4720,0,False
472,4730000,4730,1,True
473,4740000,4740,2,False
474,4750000,4750,0,True
475,4760000,4760,1,False
476,4770000,4770,2,True
477,4780000,4780,0,False
478,4790000,4790,1,False
479,4800000,4800,2,True
480,4810000,4810,0,True
481,4820000,4820,1,True
482,4830000,4830,2,True
483,4840000,4840,0,True
484,4850000,4850,1,True
485,4860000,4860,2,False
486,4870000,4870,0,True
487,4880000,4880,1,True
488,4890000,4890,2,False
489,4900000,4900,0,False
490,4910000,4910,1,False
491,4920000,4920,2,True
492,4930000,4930,0,True
493,4940000,4940,1,True
494,4950000,4950,2,False
495,4960000,4960,0,False
496,4970000,4970,1,False
497,4980000,4980,2,True
498,4990000,4990,0,True
499,5000000,5000,1,False
500,5010000,5010,2,True
501,5020000,5020,0,True
502,5030000,5030,1,False
503,5040000,5040,2,True
504,5050000,5050,0,False
505,5060000,5060,1,True
506,5070000,5070,2,True
507,5080000,5080,0,True
508,5090000,5090,1,True
509,5100000,5100,2,True
510,5110000,5110,0,True
511,5120000,5120,1,False
512,5130000,5130,2,False
513,5140000,5140,0,True
514,5150000,5150,1,True
515,5160000,5160,2,True
516,5170000,5170,0,True
517,5180000,5180,1,True
518,5190000,5190,2,True
519,5200000,5200,0,False
520,5210000,5210,1,False
521,5220000,5220,2,True
522,5230000,5230,0,False
523,5240000,5240,1,True
524,5250000,5250,2,False
525,5260000,5260,0,False
526,5270000,5270,1,True
527,5280000,5280,2,False
528,5290000,5290,0,True
529,5300000,5300,1,False
530,5310000,5310,2,False
531,5320000,5320,0,False
532,5330000,5330,1,True
533,5340000,5340,2,False
534,5350000,5350,0,True
535,5360000,5360,1,True
536,5370000,5370,2,True
537,5380000,5380,0,True
538,5390000,5390,1,True
539,5400000,5400,2,True
540,5410000,5410,0,False
541,5420000,5420,1,True
542,5430000,5430,2,False
543,5440000,5440,0,True
544,5450000,5450,1,True
545,5460000,5460,2,False
546,5470000,5470,0,True
547,5480000,5480,1,False
548,5490000,5490,2,True
549,5500000,5500,0,False
550,5510000,5510,1,False
551,5520000,5520,2,True
552,5530000,5530,0,True
553,5540000,5540,1,False
554,5550000,5550,2,False
555,5560000,5560,0,True
556,5570000,5570,1,False
557,5580000,5580,2,False
558,5590000,5590,0,True
559,5600000,5600,1,True
560,5610000,5610,2,False
561,5620000,5620,0,False
562,5630000,5630,1,True
563,5640000,5640,2,True
564,5650000,5650,0,True
565,5660000,5660,1,False
566,5670000,5670,2,False
567,5680000,5680,0,False
568,5690000,5690,1,True
569,5700000,5700,2,True
570,5710000,5710,0,False
571,5720000,5720,1,True
572,5730000,5730,2,True
573,5740000,5740,0,False
574,5750000,5750,1,False
575,5760000,5760,2,True
576,5770000,5770,0,True
577,5780000,5780,1,False
578,5790000,5790,2,False
579,5800000,5800,0,False
580,5810000,5810,1,False
581,5820000,5820,2,False
582,5830000,5830,0,False
583,5840000,5840,1,True
584,5850000,5850,2,True
585,5860000,5860,0,True
586,5870000,5870,1,False
587,5880000,5880,2,True
588,5890000,5890,0,False
589,5900000,5900,1,True
590,5910000,5910,2,False
591,5920000,5920,0,False
592,5930000,5930,1,True
593,5940000,5940,2,False
594,5950000,5950,0,True
595,5960000,5960,1,True
596,5970000,5970,2,False
597,5980000,5980,0,False
598,5990000,5990,1,True
599,6000000,6000,2,False
600,6010000,6010,0,True
601,6020000,6020,1,True
602,6030000,6030,2,True
603,6040000,6040,0,True
604,6050000,6050,1,False
605,6060000,6060,2,False
606,6070000,6070,0,False
607,6080000,6080,1,False
608,6090000,6090,2,False
609,6100000,6100,0,True
610,6110000,6110,1,True
611,6120000,6120,2,False
612,6130000,6130,0,False
613,6140000,6140,1,False
614,6150000,6150,2,True
615,6160000,6160,0,True
616,6170000,6170,1,True
617,6180000,6180,2,True
618,6190000,6190,0,False
619,6200000,6200,1,True
620,6210000,6210,2,True
621,6220000,6220,0,False
622,6230000,6230,1,True
623,6240000,6240,2,False
624,6250000,6250,0,True
625,6260000,6260,1,False
626,6270000,6270,2,False
627,6280000,6280,0,False
628,6290000,6290,1,False
629,6300000,6300,2,True
630,6310000,6310,0,False
631,6320000,6320,1,False
632,6330000,6330,2,True
633,6340000,6340,0,False
634,6350000,6350,1,False
635,6360000,6360,2,False
636,6370000,6370,0,True
637,6380000,6380,1,True
638,6390000,6390,2,False
639,6400000,6400,0,False
640,6410000,6410,1,False
641,6420000,6420,2,False
642,6430000,6430,0,True
643,6440000,6440,1,True
644,6450000,6450,2,False
645,6460000,6460,0,True
646,6470000,6470,1,True
647,6480000,6480,2,False
648,6490000,6490,0,True
649,6500000,6500,1,True
650,6510000,6510,2,True
651,6520000,6520,0,True
652,6530000,6530,1,False
653,6540000,6540,2,True
654,6550000,6550,0,False
655,6560000,6560,1,True
656,6570000,6570,2,False
657,6580000,6580,0,True
658,6590000,6590,1,True
659,6600000,6600,2,True
660,6610000,6610,0,True
661,6620000,6620,1,False
662,6630000,6630,2,False
663,6640000,6640,0,False
664,6650000,6650,1,True
665,6660000,6660,2,True
666,6670000,6670,0,True
667,6680000,6680,1,False
668,6690000,6690,2,True
669,6700000,6700,0,False
670,6710000,6710,1,True
671,6720000,6720,2,False
672,6730000,6730,0,True
673,6740000,6740,1,True
674,6750000,6750,2,False
675,6760000,6760,0,False
676,6770000,6770,1,False
677,6780000,6780,2,True
678,6790000,6790,0,False
679,6800000,6800,1,False
680,6810000,6810,2,True
681,6820000,6820,0,True
682,6830000,6830,1,True
683,6840000,6840,2,False
684,6850000,6850,0,True
685,6860000,6860,1,False
686,6870000,6870,2,False
687,6880000,6880,0,True
688,6890000,6890,1,True
689,6900000,6900,2,True
690,6910000,6910,0,False
691,6920000,6920,1,True
692,6930000,6930,2,False
693,6940000,6940,0,True
694,6950000,6950,1,True
695,6960000,6960,2,False
696,6970000,6970,0,True
697,6980000,6980,1,True
698,6990000,6990,2,False
699,7000000,7000,0,False
